item_id,id,description,type,loop,target,victim,order,count,reward
21,7,,,,,,,300,0_250_0
21,8,,,,,,,500,0_300_0
22,0,Use item Blizzard,USE,0,ITEM,1,0,5,0_10_0
22,1,,,,,,,10,0_20_0
22,2,,,,,,,20,0_30_0
22,3,,,,,,,50,0_50_0
22,4,,,,,,,100,0_100_0
22,5,,,,,,,150,0_150_0
22,6,,,,,,,200,0_200_0
22,7,,,,,,,300,0_250_0
22,8,,,,,,,500,0_300_0
23,0,Use item Blessing of Nature,USE,0,ITEM,2,0,5,0_10_0
23,1,,,,,,,10,0_20_0
23,2,,,,,,,20,0_30_0
23,3,,,,,,,50,0_50_0
23,4,,,,,,,100,0_100_0
23,5,,,,,,,150,0_150_0
23,6,,,,,,,200,0_200_0
23,7,,,,,,,300,0_250_0
23,8,,,,,,,500,0_300_0
24,0,Use item Guardian of Kingdom,USE,0,ITEM,3,0,5,0_10_0
24,1,,,,,,,10,0_20_0
24,2,,,,,,,20,0_30_0
24,3,,,,,,,50,0_50_0
24,4,,,,,,,100,0_100_0
24,5,,,,,,,150,0_150_0
24,6,,,,,,,200,0_200_0
24,7,,,,,,,300,0_250_0
24,8,,,,,,,500,0_300_0
25,0,Defeat boss Nadlug,KILL,0,ENEMY,8,0,1,0_100_0
26,0,Defeat boss Moggun Bloodwolf,KILL,0,ENEMY,9,0,1,0_200_0
27,0,Defeat boss Marakk,KILL,0,ENEMY,13,0,1,0_300_0
28,0,Defeat boss Kazmul,KILL,0,ENEMY,16,0,1,0_500_0
29,0,complete map 11 with 3*,COMPLETE,0,MAP,10,1,1,0_30_0
30,0,complete map 12 with 3*,COMPLETE,0,MAP,11,1,1,0_30_0
31,0,complete map 13 with 3*,COMPLETE,0,MAP,12,1,1,0_30_0
32,0,complete map 14 with 3*,COMPLETE,0,MAP,13,1,1,0_30_0
33,0,complete map 15 with 3*,COMPLETE,0,MAP,14,1,1,0_30_0
34,0,complete map 16 with 3*,COMPLETE,0,MAP,15,1,1,0_30_0
35,0,complete map 17 with 3*,COMPLETE,0,MAP,16,1,1,0_30_0
36,0,complete map 18 with 3*,COMPLETE,0,MAP,17,1,1,0_30_0
37,0,complete map 19 with 3*,COMPLETE,0,MAP,18,1,1,0_30_0
38,0,complete map 20 with 3*,COMPLETE,0,MAP,19,1,1,0_30_0
39,0,buy 5 hero,BUY,0,HERO,,5,5,0_150_0
40,0,buy 7 hero,BUY,0,HERO,,5,7,0_250_0
41,0,complete map 1 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,0,1,1,0_50_0
42,0,complete map 2 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,1,1,1,0_50_0
43,0,complete map 3 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,2,1,1,0_50_0
44,0,complete map 4 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,3,1,1,0_50_0
45,0,complete map 5 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,4,1,1,0_50_0
46,0,complete map 6 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,5,1,1,0_50_0
47,0,complete map 7 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,6,1,1,0_50_0
48,0,complete map 8 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,7,1,1,0_50_0
49,0,complete map 9 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,8,1,1,0_50_0
50,0,complete map 10 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,9,1,1,0_50_0
51,0,complete map 11 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,10,1,1,0_50_0
52,0,complete map 12 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,11,1,1,0_50_0
53,0,complete map 13 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,12,1,1,0_50_0
54,0,complete map 14 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,13,1,1,0_50_0
55,0,complete map 15 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,14,1,1,0_50_0
56,0,complete map 16 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,15,1,1,0_50_0
57,0,complete map 17 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,16,1,1,0_50_0
58,0,complete map 18 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,17,1,1,0_50_0
59,0,complete map 19 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,18,1,1,0_50_0
60,0,complete map 20 nightmare with 3*,COMPLETE,0,MAP_NIGHTMARE,19,1,1,0_50_0
61,0,Use item LandMine,USE,0,ITEM,4,0,5,0_10_0
61,1,,,,,,,10,0_20_0
61,2,,,,,,,20,0_30_0
61,3,,,,,,,50,0_50_0
61,4,,,,,,,100,0_100_0
61,5,,,,,,,150,0_150_0
61,6,,,,,,,200,0_200_0
61,7,,,,,,,300,0_250_0
61,8,,,,,,,500,0_300_0
62,0,complete map 21 with 3*,COMPLETE,0,MAP,20,1,1,0_30_0
63,0,complete map 22 with 3*,COMPLETE,0,MAP,21,1,1,0_30_0
64,0,complete map 23 with 3*,COMPLETE,0,MAP,22,1,1,0_30_0
65,0,complete map 24 with 3*,COMPLETE,0,MAP,23,1,1,0_30_0
66,0,complete map 25 with 3*,COMPLETE,0,MAP,24,1,1,0_30_0
67,0,complete map 21 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,20,1,1,0_50_0
68,0,complete map 22 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,21,1,1,0_50_0
69,0,complete map 23 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,22,1,1,0_50_0
70,0,complete map 24 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,23,1,1,0_50_0
71,0,complete map 25 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,24,1,1,0_50_0
72,0,complete map 26 with 3*,COMPLETE,0,MAP,25,1,1,0_30_0
73,0,complete map 27 with 3*,COMPLETE,0,MAP,26,1,1,0_30_0
74,0,complete map 28 with 3*,COMPLETE,0,MAP,27,1,1,0_30_0
75,0,complete map 29 with 3*,COMPLETE,0,MAP,28,1,1,0_30_0
76,0,complete map 30 with 3*,COMPLETE,0,MAP,29,1,1,0_30_0
77,0,complete map 26 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,25,1,1,0_50_0
78,0,complete map 27 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,26,1,1,0_50_0
79,0,complete map 28 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,27,1,1,0_50_0
80,0,complete map 29 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,28,1,1,0_50_0
81,0,complete map 30 nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,29,1,1,0_50_0
82,0,complete map challenge with 3* 0,COMPLETE,0,MAP_CHALLENGE,0,1,1,0_70_0
83,0,complete map challenge with 3* 1,COMPLETE,0,MAP_CHALLENGE,1,1,1,0_70_0
84,0,complete map challenge with 3* 2,COMPLETE,0,MAP_CHALLENGE,2,1,1,0_70_0
85,0,complete map challenge with 3* 3,COMPLETE,0,MAP_CHALLENGE,3,1,1,0_70_0
86,0,complete map challenge with 3* 4,COMPLETE,0,MAP_CHALLENGE,4,1,1,0_70_0
87,0,complete map challenge with 3* 5,COMPLETE,0,MAP_CHALLENGE,5,1,1,0_70_0
88,0,complete map challenge with 3* 6,COMPLETE,0,MAP_CHALLENGE,6,1,1,0_70_0
89,0,complete map challenge with 3* 7,COMPLETE,0,MAP_CHALLENGE,7,1,1,0_70_0
90,0,complete map challenge with 3* 8,COMPLETE,0,MAP_CHALLENGE,8,1,1,0_70_0
91,0,complete map challenge with 3* 9,COMPLETE,0,MAP_CHALLENGE,9,1,1,0_70_0
92,0,complete map challenge with 3* 10,COMPLETE,0,MAP_CHALLENGE,10,1,1,0_70_0
93,0,complete map challenge with 3* 11,COMPLETE,0,MAP_CHALLENGE,11,1,1,0_70_0
94,0,complete map challenge with 3* 12,COMPLETE,0,MAP_CHALLENGE,12,1,1,0_70_0
95,0,complete map challenge with 3* 13,COMPLETE,0,MAP_CHALLENGE,13,1,1,0_70_0
96,0,complete map challenge with 3* 14,COMPLETE,0,MAP_CHALLENGE,14,1,1,0_70_0
97,0,complete map challenge with 3* 15,COMPLETE,0,MAP_CHALLENGE,15,1,1,0_70_0
98,0,complete map challenge with 3* 16,COMPLETE,0,MAP_CHALLENGE,16,1,1,0_70_0
99,0,complete map challenge with 3* 17,COMPLETE,0,MAP_CHALLENGE,17,1,1,0_70_0
100,0,complete map challenge with 3* 18,COMPLETE,0,MAP_CHALLENGE,18,1,1,0_70_0
101,0,complete map challenge with 3* 19,COMPLETE,0,MAP_CHALLENGE,19,1,1,0_70_0
102,0,complete map challenge with 3* 20,COMPLETE,0,MAP_CHALLENGE,20,1,1,0_70_0
103,0,complete map challenge with 3* 21,COMPLETE,0,MAP_CHALLENGE,21,1,1,0_70_0
104,0,complete map challenge with 3* 22,COMPLETE,0,MAP_CHALLENGE,22,1,1,0_70_0
105,0,complete map challenge with 3* 23,COMPLETE,0,MAP_CHALLENGE,23,1,1,0_70_0
106,0,complete map challenge with 3* 24,COMPLETE,0,MAP_CHALLENGE,24,1,1,0_70_0
107,0,complete map challenge with 3* 25,COMPLETE,0,MAP_CHALLENGE,25,1,1,0_70_0
108,0,complete map challenge with 3* 26,COMPLETE,0,MAP_CHALLENGE,26,1,1,0_70_0
109,0,complete map challenge with 3* 27,COMPLETE,0,MAP_CHALLENGE,27,1,1,0_70_0
110,0,complete map challenge with 3* 28,COMPLETE,0,MAP_CHALLENGE,28,1,1,0_70_0
111,0,complete map challenge with 3* 29,COMPLETE,0,MAP_CHALLENGE,29,1,1,0_70_0
112,0,complete map with 3*,COMPLETE,0,MAP,30,1,1,0_30_0
113,0,complete map with 3*,COMPLETE,0,MAP,31,1,1,0_30_0
114,0,complete map with 3*,COMPLETE,0,MAP,32,1,1,0_30_0
115,0,complete map with 3*,COMPLETE,0,MAP,33,1,1,0_30_0
116,0,complete map with 3*,COMPLETE,0,MAP,34,1,1,0_30_0
117,0,complete map nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,30,1,1,0_50_0
118,0,complete map nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,31,1,1,0_50_0
119,0,complete map nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,32,1,1,0_50_0
120,0,complete map nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,33,1,1,0_50_0
121,0,complete map nighmare with 3*,COMPLETE,0,MAP_NIGHTMARE,34,1,1,0_50_0
122,0,complete map challenge with 3* ,COMPLETE,0,MAP_CHALLENGE,30,1,1,0_70_0
123,0,complete map challenge with 3* ,COMPLETE,0,MAP_CHALLENGE,31,1,1,0_70_0
124,0,complete map challenge with 3* ,COMPLETE,0,MAP_CHALLENGE,32,1,1,0_70_0
125,0,complete map challenge with 3* ,COMPLETE,0,MAP_CHALLENGE,33,1,1,0_70_0
126,0,complete map challenge with 3* ,COMPLETE,0,MAP_CHALLENGE,34,1,1,0_70_0
127,0,Defeat boss Arhtaneas,KILL,0,ENEMY,21,1,1,0_400_0
128,0,Defeat boss Elora,KILL,0,ENEMY,25,1,1,0_500_0
129,0,Defeat boss Narazal 2,KILL,0,ENEMY,30,1,1,0_600_0
130,0,Defeat boss King Julius III,KILL,0,ENEMY,33,1,1,0_800_0
131,0,buy 9 hero,BUY,0,HERO,,5,9,0_300_0
132,0,Upgrade Crystal mine lvl 5,UPGRADE,0,CRYSTAL_MINE,,0,5,0_50_0
133,0,Upgrade Crystal mine lvl 10,UPGRADE,0,CRYSTAL_MINE,,0,10,0_100_0
134,0,Upgrade Crystal mine lvl 15,UPGRADE,0,CRYSTAL_MINE,,0,15,0_200_0
135,0,Upgrade Crystal mine lvl 20,UPGRADE,0,CRYSTAL_MINE,,0,20,0_500_0
136,0,Use Silver stars to upgrade,UPGRADE,0,STAR_SILVER,,0,3,0_20_0
137,0,Use Gold stars to upgrade ,UPGRADE,0,STAR_GOLD,,0,3,0_30_0
138,0,Use Purple stars to upgrade ,UPGRADE,0,STAR_PURPLE,,0,3,0_50_0
139,0,Complete upgrade by using Silver stars,COMPLETE,0,COMPLETE_STAR_SILVER,,10,1,0_200_0
140,0,Complete upgrade by using Gold stars,COMPLETE,0,COMPLETE_STAR_GOLD,,10,1,0_300_0
141,0,Complete upgrade by using Purple stars,COMPLETE,0,COMPLETE_STAR_PURPLE,,0,1,0_500_0
142,0,Play Tournament 1st time,PLAY,0,TOURNAMENT,,0,1,0_50_0
143,0,Achieve Silver rank 1st time,COUNT,0,TOURNAMENT_RANK,1,10,1,0_100_0
144,0,Achieve Gold rank 1st time,COUNT,0,TOURNAMENT_RANK,2,10,1,0_150_0
145,0,Achieve Platinum rank 1st time,COUNT,0,TOURNAMENT_RANK,3,10,1,0_200_0
146,0,Achieve Diamond rank 1st time,COUNT,0,TOURNAMENT_RANK,4,10,1,0_250_0
147,0,Achieve Elite rank 1st time,COUNT,0,TOURNAMENT_RANK,5,10,1,0_300_0
148,0,Achieve Master rank 1st time,COUNT,0,TOURNAMENT_RANK,6,10,1,0_400_0
149,0,Achieve King rank 1st time,COUNT,0,TOURNAMENT_RANK,7,10,1,0_500_0
150,0,complete map 36 with 3*,COMPLETE,0,MAP,35,1,1,0_30_0
151,0,complete map 37 with 3*,COMPLETE,0,MAP,36,1,1,0_30_0
152,0,complete map 38 with 3*,COMPLETE,0,MAP,37,1,1,0_30_0
153,0,complete map 39 with 3*,COMPLETE,0,MAP,38,1,1,0_30_0
154,0,complete map 40 with 3*,COMPLETE,0,MAP,39,1,1,0_30_0
155,0,complete map nightmare 36 with 3*,COMPLETE,0,MAP_NIGHTMARE,35,1,1,0_50_0
156,0,complete map nightmare 37 with 3*,COMPLETE,0,MAP_NIGHTMARE,36,1,1,0_50_0
157,0,complete map nightmare 38 with 3*,COMPLETE,0,MAP_NIGHTMARE,37,1,1,0_50_0
158,0,complete map nightmare 39 with 3*,COMPLETE,0,MAP_NIGHTMARE,38,1,1,0_50_0
159,0,complete map nightmare 40 with 3*,COMPLETE,0,MAP_NIGHTMARE,39,1,1,0_50_0
160,0,complete map challenge 36 with 3*,COMPLETE,0,MAP_CHALLENGE,35,1,1,0_70_0
161,0,complete map challenge 37 with 3*,COMPLETE,0,MAP_CHALLENGE,36,1,1,0_70_0
162,0,complete map challenge 38 with 3*,COMPLETE,0,MAP_CHALLENGE,37,1,1,0_70_0
163,0,complete map challenge 39 with 3*,COMPLETE,0,MAP_CHALLENGE,38,1,1,0_70_0
164,0,complete map challenge 40 with 3*,COMPLETE,0,MAP_CHALLENGE,39,1,1,0_70_0
