wave,no,time,enemy_id,gate,gold,health,time_auto_next_wave,time_show_button_next,tower_lock,rate_3_star,rate_2_star,min_bonus_gem,max_bonus_gem
2,14,1,0,1,,,,,,,,,
2,15,1.2,0,1,,,,,,,,,
2,16,1.6,1,1,,,,,,,,,
2,17,1.2,1,1,,,,,,,,,
2,18,1.6,1,1,,,,,,,,,
2,19,1.2,1,1,,,,,,,,,
2,20,1,1,1,,,,,,,,,
2,21,1.2,1,1,,,,,,,,,
2,22,1.6,1,1,,,,,,,,,
2,23,1.2,1,1,,,,,,,,,
2,24,1.6,1,1,,,,,,,,,
2,25,0.8,1,1,,,,,,,,,
2,26,0.8,1,1,,,,,,,,,
2,27,0.4,0,1,,,,,,,,,
2,28,0.8,1,1,,,,,,,,,
2,29,0.8,1,1,,,,,,,,,
2,30,0.8,1,1,,,,,,,,,
2,31,0.8,1,1,,,,,,,,,
2,32,0.8,1,1,,,,,,,,,
2,33,0.8,1,1,,,,,,,,,
2,34,0.8,1,1,,,,,,,,,
2,35,0.8,1,1,,,,,,,,,
