item_id,id,product_id,type,price,spent_type,quantity,consumable,rune_star,rune_level,tab_index,tab,recommendation,limit_number_in_day,weight
35,0,,23,,,50,,,,,,,,
36,11,com.zitga.empire.warriors.td.tower.defense_thirios_war_god_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
36,0,,12,,,3,,4,0,,,,,
36,9,,12,,,3,,4,0,,,,,
36,0,,48,,,2,,,,,,,,
36,0,,23,,,150,,,,,,,,
37,11,com.zitga.empire.warriors.td.tower.defense_together_we_stand_14.99,7,14.99,,1,0,,,0,Supreme Hero Bundle,,0,
37,3,,36,,,1,,,,,,,,
37,0,,48,,,2,,,,,,,,
37,0,,23,,,150,,,,,,,,
38,11,com.zitga.empire.warriors.td.tower.defense_assemble_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
38,1,,36,,,1,,,,,,,,
38,0,,48,,,2,,,,,,,,
38,0,,23,,,120,,,,,,,,
39,11,com.zitga.empire.warriors.td.tower.defense_darkness_conceal_us_all_11.99,7,11.99,,1,0,,,0,Supreme Hero Bundle,,0,
39,0,,36,,,1,,,,,,,,
39,0,,48,,,2,,,,,,,,
39,0,,23,,,120,,,,,,,,
40,0,,17,36,9,5,1,,,1,,,5,45
41,0,,17,72,9,10,1,,,1,,,4,40
42,0,,17,144,9,20,1,,,1,,,3,35
43,0,,17,216,9,30,1,,,1,,,2,30
44,0,,17,360,9,50,1,,,1,,,1,15
51,0,,9,450,0,50,1,,,1,,,5,45
52,0,,9,880,0,100,1,,,1,,,4,40
53,0,,9,1720,0,200,1,,,1,,,3,35
54,0,,9,2520,0,300,1,,,1,,,2,30
55,0,,9,4000,0,500,1,,,1,,,1,10
56,0,,12,15,9,1,1,2,0,1,,,3,20
57,1,,12,15,9,1,1,2,0,1,,,3,20
58,2,,12,15,9,1,1,2,0,1,,,3,20
59,3,,12,15,9,1,1,2,0,1,,,3,20
60,4,,12,15,9,1,1,2,0,1,,,3,20
61,5,,12,15,9,1,1,2,0,1,,,3,20
62,6,,12,15,9,1,1,2,0,1,,,3,20
63,7,,12,15,9,1,1,2,0,1,,,3,20
64,8,,12,15,9,1,1,2,0,1,,,3,20
65,9,,12,15,9,1,1,2,0,1,,,3,20
66,10,,12,15,9,1,1,2,0,1,,,3,20
67,11,,12,15,9,1,1,2,0,1,,,3,20
68,0,,12,80,9,1,1,3,0,1,,,3,8
69,1,,12,80,9,1,1,3,0,1,,,3,8
70,2,,12,80,9,1,1,3,0,1,,,3,8
71,3,,12,80,9,1,1,3,0,1,,,3,8
72,4,,12,80,9,1,1,3,0,1,,,3,8
73,5,,12,80,9,1,1,3,0,1,,,3,8
74,6,,12,80,9,1,1,3,0,1,,,3,8
75,7,,12,80,9,1,1,3,0,1,,,3,8
76,8,,12,80,9,1,1,3,0,1,,,3,8
77,9,,12,80,9,1,1,3,0,1,,,3,8
78,10,,12,80,9,1,1,3,0,1,,,3,8
79,11,,12,80,9,1,1,3,0,1,,,3,8
80,0,,12,260,9,1,1,4,0,1,,,1,4
81,1,,12,260,9,1,1,4,0,1,,,1,4
82,2,,12,260,9,1,1,4,0,1,,,1,4
83,3,,12,260,9,1,1,4,0,1,,,1,4
84,4,,12,260,9,1,1,4,0,1,,,1,4
85,5,,12,260,9,1,1,4,0,1,,,1,4
86,6,,12,260,9,1,1,4,0,1,,,1,4
87,7,,12,260,9,1,1,4,0,1,,,1,4
88,8,,12,260,9,1,1,4,0,1,,,1,4
89,9,,12,260,9,1,1,4,0,1,,,1,4
90,10,,12,260,9,1,1,4,0,1,,,1,4
91,11,,12,260,9,1,1,4,0,1,,,1,4
92,3,,18,1400,0,1,1,4,0,1,,,5,5
93,3,,18,300,9,1,1,4,0,1,,,5,5
94,7,,18,160,9,10,1,,,1,,,1,3
95,0,,1,25,9,5,1,,,1,,,5,30
96,1,,1,25,9,5,1,,,1,,,5,30
97,2,,1,25,9,5,1,,,1,,,5,30
98,3,,1,25,9,5,1,,,1,,,5,30
99,4,,1,25,9,5,1,,,1,,,5,30
100,0,,0,0,0,40,1,,,1,,Free,,5
101,0,,9,0,0,10,1,,,1,,Free,,5
102,0,,17,0,0,1,1,,,1,,Free,,5
103,0,,1,0,0,1,1,,,1,,Free,,5
104,1,,1,0,0,1,1,,,1,,Free,,5
105,2,,1,0,0,1,1,,,1,,Free,,5
106,3,,1,0,0,1,1,,,1,,Free,,5
107,19,com.zitga.empire.warriors.td.tower.defense_lucky_chest_0.99,18,0.99,,1,1,,,7,,,,
107,0,,23,,,10,,,,,,,,
